Dataset,Solver,WarmStart,C,Rho,ScreeningRate,Screen_Iterations,Baseline_Iterations,Iteration_Reduction_Ratio,OverheadTime_MeanStd,SolveTime_MeanStd,TotalScreeningTime_Mean_Std,Baseline_Time_Mean_Std,Speedup,p-value
ijcnn1,CVXOPT,False,0.01,0.0,0.7892,4058,13348,0.70,0.0327 ± 0.0154,3.3536 ± 2.2450,3.3863 ± 2.2504,61.8893 ± 34.0968,18.28x,1.863e-09
ijcnn1,CVXOPT,False,0.01,0.05,0.7186,4732,13228,0.64,0.0362 ± 0.0150,6.2501 ± 7.3511,6.2864 ± 7.3554,62.4075 ± 37.5887,9.93x,1.863e-09
ijcnn1,CVXOPT,False,0.05,0.0,0.6413,14929,19898,0.25,0.0345 ± 0.0136,19.9938 ± 11.5105,20.0283 ± 11.5219,93.3492 ± 38.1941,4.66x,1.863e-09
ijcnn1,CVXOPT,False,0.05,0.05,0.5827,12912,19732,0.35,0.0369 ± 0.0149,21.1741 ± 13.4008,21.2109 ± 13.4077,97.0167 ± 39.5178,4.57x,1.863e-09
ijcnn1,CVXOPT,False,0.1,0.0,0.6195,20442,20000,-0.02,0.0413 ± 0.0187,27.1416 ± 8.4217,27.1829 ± 8.4362,95.1560 ± 38.6506,3.50x,1.863e-09
ijcnn1,CVXOPT,False,0.1,0.05,0.5764,16572,20000,0.17,0.0423 ± 0.0179,27.9958 ± 16.0724,28.0381 ± 16.0855,96.7540 ± 40.8234,3.45x,1.863e-09
ijcnn1,CVXOPT,True,0.01,0.0,0.7872,4298,13898,0.69,0.0209 ± 0.0042,2.5523 ± 1.3873,2.5732 ± 1.3882,40.7730 ± 13.5093,15.85x,1.863e-09
ijcnn1,CVXOPT,True,0.01,0.05,0.7218,4494,15331,0.71,0.0235 ± 0.0053,4.0801 ± 4.4141,4.1035 ± 4.4148,46.3930 ± 13.8526,11.31x,1.863e-09
ijcnn1,CVXOPT,True,0.05,0.0,0.6422,14254,19930,0.28,0.0243 ± 0.0048,13.0361 ± 5.7945,13.0604 ± 5.7946,58.3587 ± 1.1727,4.47x,1.863e-09
ijcnn1,CVXOPT,True,0.05,0.05,0.5867,12515,19909,0.37,0.0265 ± 0.0078,13.7856 ± 6.7646,13.8121 ± 6.7662,60.1161 ± 1.7530,4.35x,1.863e-09
