Dataset,Solver,WarmStart,C,Rho,Method,Seed,Objective,Accuracy,AUC,F1,ScreeningRate,Time,ScreenTime,Iterations,Status
svmguide1,SCS,False,0.01,0.0,Baseline,1,9.09937941,0.82847896,0.92922018,0.87529412,0.0,0.99805856,0.0,750,SUCCESS
svmguide1,SCS,False,0.01,0.0,Screening,1,9.0993794,0.82847896,0.92922018,0.87529412,0.48431174,0.27884412,0.00928855,900,SUCCESS
svmguide1,SCS,False,0.01,0.05,Baseline,1,9.8205157,0.82524272,0.92666284,0.87323944,0.0,0.31411409,0.0,375,SUCCESS
svmguide1,SCS,False,0.01,0.05,Screening,1,9.8205157,0.82524272,0.92666284,0.87323944,0.45445344,0.26217747,0.00557756,825,SUCCESS
svmguide1,SCS,False,0.05,0.0,Baseline,1,39.26780099,0.84789644,0.93139908,0.88395062,0.0,0.50849867,0.0,1200,SUCCESS
svmguide1,SCS,False,0.05,0.0,Screening,1,39.26802727,0.84789644,0.9312844,0.88395062,0.57439271,0.21456313,0.01352549,150,SUCCESS
svmguide1,SCS,False,0.05,0.05,Baseline,1,44.02804333,0.83980583,0.93440367,0.88256228,0.0,0.76245046,0.0,2375,SUCCESS
svmguide1,SCS,False,0.05,0.05,Screening,1,44.02804343,0.83980583,0.93440367,0.88256228,0.53137652,0.14945889,0.00360346,800,SUCCESS
svmguide1,SCS,False,0.1,0.0,Baseline,1,75.55819181,0.85113269,0.93094037,0.88669951,0.0,0.81917858,0.0,3875,SUCCESS
svmguide1,SCS,False,0.1,0.0,Screening,1,75.55819108,0.85113269,0.93094037,0.88669951,0.59817814,0.1618607,0.00333881,1325,SUCCESS
svmguide1,SCS,False,0.1,0.05,Baseline,1,85.80013186,0.85760518,0.93329128,0.89,0.0,2.26629019,0.0,7150,SUCCESS
svmguide1,SCS,False,0.1,0.05,Screening,1,85.80013203,0.85760518,0.93329128,0.89,0.54908907,0.15528274,0.00316405,1125,SUCCESS
svmguide1,SCS,False,0.01,0.0,Baseline,2,8.96955568,0.83656958,0.91605505,0.87001287,0.0,0.16216564,0.0,725,SUCCESS
svmguide1,SCS,False,0.01,0.0,Screening,2,8.96955569,0.83656958,0.91605505,0.87001287,0.49493927,0.14755726,0.003263,925,SUCCESS
svmguide1,SCS,False,0.01,0.05,Baseline,2,9.66421673,0.83171521,0.91347477,0.87735849,0.0,0.14016509,0.0,575,SUCCESS
svmguide1,SCS,False,0.01,0.05,Screening,2,9.66421677,0.83171521,0.91345183,0.87735849,0.46406883,0.14560986,0.00325108,800,SUCCESS
svmguide1,SCS,False,0.05,0.0,Baseline,2,39.08365506,0.8592233,0.92834862,0.89111389,0.0,0.28020978,0.0,800,SUCCESS
