Dataset,Solver,WarmStart,C,Rho,Objective_Base,Objective_Screen,Objective_p-value,Accuracy_Base,Accuracy_Screen,Accuracy_p-value,AUC_Base,AUC_Screen,AUC_p-value,F1_Base,F1_Screen,F1_p-value
ijcnn1,CVXOPT,False,0.01,0.0,56.3192 ± 0.3806,56.3192 ± 0.3806,7.507256785402463e-134,0.9244 ± 0.0042,0.9245 ± 0.0043,6.881782813580047e-35,0.9175 ± 0.0041,0.9175 ± 0.0041,2.4623662656408426e-97,0.6283 ± 0.0107,0.6283 ± 0.0106,5.192081608911389e-45
ijcnn1,CVXOPT,False,0.01,0.05,61.2007 ± 0.3271,61.2007 ± 0.3271,1.1062319496340113e-80,0.9246 ± 0.0037,0.9246 ± 0.0037,9.439155938992451e-73,0.9190 ± 0.0040,0.9190 ± 0.0040,4.448811069242384e-90,0.6270 ± 0.0098,0.6270 ± 0.0098,1.382219399327812e-46
ijcnn1,CVXOPT,False,0.05,0.0,275.0826 ± 2.0555,275.0826 ± 2.0555,6.787222823763881e-58,0.9244 ± 0.0032,0.9246 ± 0.0033,2.8714974740357513e-24,0.9173 ± 0.0042,0.9173 ± 0.0042,3.303155752713552e-74,0.6276 ± 0.0107,0.6280 ± 0.0108,5.1309388371494025e-18
ijcnn1,CVXOPT,False,0.05,0.05,301.0001 ± 1.8530,301.0001 ± 1.8530,4.7660749976435655e-58,0.9246 ± 0.0035,0.9246 ± 0.0035,5.680290143306455e-56,0.9180 ± 0.0040,0.9180 ± 0.0040,1.3265573218247332e-71,0.6289 ± 0.0111,0.6289 ± 0.0110,9.626997697485286e-39
ijcnn1,CVXOPT,False,0.1,0.0,548.3638 ± 4.1590,548.3636 ± 4.1590,1.3731496230253336e-62,0.9246 ± 0.0036,0.9246 ± 0.0034,2.624775517011959e-22,0.9173 ± 0.0042,0.9173 ± 0.0042,3.922741778303054e-75,0.6281 ± 0.0109,0.6282 ± 0.0107,1.2221275750704211e-23
ijcnn1,CVXOPT,False,0.1,0.05,600.5712 ± 3.7612,600.5712 ± 3.7612,2.698560076788773e-47,0.9243 ± 0.0037,0.9246 ± 0.0032,1.1648580971843172e-16,0.9179 ± 0.0040,0.9179 ± 0.0040,2.202559987747579e-71,0.6287 ± 0.0106,0.6286 ± 0.0107,4.838688372750273e-18
ijcnn1,CVXOPT,True,0.01,0.0,56.3192 ± 0.3806,56.3192 ± 0.3806,2.3936305282339066e-112,0.9244 ± 0.0042,0.9244 ± 0.0042,2.8831803166782826e-66,0.9175 ± 0.0041,0.9175 ± 0.0041,5.0289637022478065e-96,0.6283 ± 0.0107,0.6283 ± 0.0107,5.3653193763046946e-52
ijcnn1,CVXOPT,True,0.01,0.05,61.2007 ± 0.3271,61.2007 ± 0.3271,5.814363589787946e-81,0.9246 ± 0.0037,0.9246 ± 0.0037,1.3403603510072312e-68,0.9190 ± 0.0040,0.9190 ± 0.0040,9.512775962241812e-90,0.6270 ± 0.0098,0.6270 ± 0.0098,7.46671822426665e-46
ijcnn1,CVXOPT,True,0.05,0.0,275.0826 ± 2.0555,275.0827 ± 2.0555,3.317717466588558e-55,0.9244 ± 0.0032,0.9245 ± 0.0032,3.630309826170648e-54,0.9173 ± 0.0042,0.9173 ± 0.0042,5.828217450966862e-73,0.6276 ± 0.0107,0.6277 ± 0.0106,3.044456982904744e-36
ijcnn1,CVXOPT,True,0.05,0.05,301.0001 ± 1.8530,301.0001 ± 1.8530,4.711856013434348e-56,0.9246 ± 0.0035,0.9246 ± 0.0035,2.875569944488583e-55,0.9180 ± 0.0040,0.9180 ± 0.0040,4.199234436984474e-74,0.6290 ± 0.0111,0.6289 ± 0.0111,3.806418064932639e-34
ijcnn1,CVXOPT,True,0.1,0.0,548.3638 ± 4.1590,548.3636 ± 4.1590,1.0716023856390405e-54,0.9247 ± 0.0037,0.9246 ± 0.0034,3.4313373004382774e-20,0.9173 ± 0.0042,0.9173 ± 0.0042,2.7230460938152816e-74,0.6283 ± 0.0110,0.6282 ± 0.0107,6.2513554740081265e-24
ijcnn1,CVXOPT,True,0.1,0.05,600.5713 ± 3.7612,600.5711 ± 3.7612,2.335442133451798e-58,0.9244 ± 0.0038,0.9244 ± 0.0037,6.321152986643608e-20,0.9179 ± 0.0040,0.9179 ± 0.0040,1.0398274904969473e-72,0.6288 ± 0.0109,0.6288 ± 0.0105,1.0315082458655299e-17
ijcnn1,SCS,False,0.01,0.0,56.3192 ± 0.3806,56.3192 ± 0.3806,7.507256785402463e-134,0.9244 ± 0.0042,0.9245 ± 0.0043,6.881782813580047e-35,0.9175 ± 0.0041,0.9175 ± 0.0041,2.4623662656408426e-97,0.6283 ± 0.0107,0.6283 ± 0.0106,5.192081608911389e-45
ijcnn1,SCS,False,0.01,0.05,61.2007 ± 0.3271,61.2007 ± 0.3271,1.1066519719657863e-80,0.9246 ± 0.0037,0.9246 ± 0.0037,9.439155938992451e-73,0.9190 ± 0.0040,0.9190 ± 0.0040,4.493771793921051e-90,0.6270 ± 0.0098,0.6270 ± 0.0098,1.382219399327812e-46
ijcnn1,SCS,False,0.05,0.0,275.0826 ± 2.0555,275.0826 ± 2.0555,6.787222823763881e-58,0.9244 ± 0.0032,0.9246 ± 0.0033,2.8714974740357513e-24,0.9173 ± 0.0042,0.9173 ± 0.0042,3.303155752713552e-74,0.6276 ± 0.0107,0.6280 ± 0.0108,5.1309388371494025e-18
